dataset,variant,seed,fold,best_epoch,train_seconds,test_uar,test_macro_f1,h_linear_mi_lb_bits,h_linear_control_bits,h_linear_entropy_bits
iemocap,inlp_trans,43,1,18,53.5,0.5732961895532629,0.5656903572697461,-0.20062978749272808,-0.20763511558230752,0.9836697149306288
iemocap,inlp_trans,43,2,11,51.6,0.5538397871794013,0.5307770518200562,-0.2013237028296705,-0.22385193949955984,0.9910444329385492
iemocap,inlp_trans,43,3,22,77.9,0.584555431923381,0.5782517374811418,-0.087768795145168,-0.13378218476309156,0.9973008701007469
iemocap,inlp_trans,43,4,15,60.1,0.587563724006164,0.5419412427736252,-0.10657873484367919,-0.19290401875049057,0.9994846138022001
iemocap,inlp_trans,43,5,10,64.1,0.4945577757554043,0.41473369463621,-0.2695565137706216,-0.10590947474811607,0.9998765061155545
iemocap,inlp_trans,44,1,12,65.8,0.5670928062879849,0.5233103388285871,-0.1621195335604262,-0.09833015932941636,0.9836697149306288
iemocap,inlp_trans,44,2,18,65.9,0.5588765688589062,0.537535786621381,-0.06569509343891877,-0.18802305799317398,0.9910444329385492
iemocap,inlp_trans,44,3,26,80.9,0.5527340880643097,0.5308624844024956,-0.17520693635634488,-0.21378535308733526,0.9973008701007469
iemocap,inlp_trans,44,4,32,70.3,0.6042897161303505,0.576663600151749,-0.09975141540247001,-0.20801781602911273,0.9994846138022001
iemocap,inlp_trans,44,5,25,71.7,0.46447849159767507,0.44428005937654624,-0.1380724498522542,-0.14377140688168033,0.9998765061155545
iemocap,leace_trainfit,42,1,9,7.4,0.460860524621459,0.43911885924966143,0.443777117106138,-0.16668393348725008,0.9836697149306288
iemocap,leace_trainfit,42,2,24,22.5,0.5403775177111809,0.5332055462808014,0.14205368041560595,-0.20013604670333784,0.9910444329385492
iemocap,leace_trainfit,42,3,9,6.9,0.5126108342736939,0.5021637698608344,0.25306117630378044,-0.13450962214421835,0.9973008701007469
iemocap,leace_trainfit,42,4,15,36.2,0.5447842690654121,0.49244276910235996,0.18244580301181434,-0.118542906836126,0.9994846138022001
iemocap,leace_trainfit,42,5,18,46.6,0.6001793118182671,0.5771636761010601,0.3581764876386331,-0.29936993053199157,0.9998765061155545
iemocap,leace_trainfit,43,1,18,52.7,0.527013051503328,0.5205436807021653,0.30667872224622406,-0.20350418857256303,0.9836697149306288
iemocap,leace_trainfit,43,2,11,49.7,0.5043970224632098,0.4897051639887142,0.08423972375674504,-0.14201515223106964,0.9910444329385492
iemocap,leace_trainfit,43,3,22,76.0,0.506039067248527,0.5040208085394056,0.19468269741840372,-0.12116191431525514,0.9973008701007469
iemocap,leace_trainfit,43,4,15,58.2,0.5323042509555809,0.48525103095997046,0.22509124220328092,-0.17600241639102354,0.9994846138022001
iemocap,leace_trainfit,43,5,10,62.5,0.5465317302575139,0.4975984670531319,0.42452808271311593,-0.126312211727574,0.9998765061155545
iemocap,leace_trainfit,44,1,12,64.0,0.5268920630400905,0.501908717232462,0.4182301681970243,-0.15782106457214695,0.9836697149306288
iemocap,leace_trainfit,44,2,18,64.1,0.514739785334613,0.5044741476886283,0.10440101248313594,-0.13682050959301517,0.9910444329385492
